address,price
"9960 W Tilmont St Boise, ID 83709","$1,995 /mo"
"2001 S Hudson Ave Boise, ID 83705","$2,509"
"6640 S Dewberry Way Boise, ID 83709","$2,395 /mo"
"2712 N 28th St Boise, ID 83703","$3,200 /mo"
"9201 W Shelterwood Dr Boise, ID 83709","$2,150 /mo"
"7773 W Crestwood Dr Boise, ID 83704","$2,500 /mo"
"6402 Bermuda Dr Boise, ID 83709","$2,200 /mo"
"379 White Cloud Dr Boise, ID 83709","$1,395 /mo"
"6044 S Jessenia Ln Boise, ID 83709","$1,850"
"4527 S Trails End Ln Boise, ID 83716","$2,295 /mo"
"5603 S Snapdragon Pl Boise, ID 83716","$1,895 /mo"
"8965 W Irving St Boise, ID 83704","$2,095 /mo"
"3335 S Holden Ave Boise, ID 83706","$2,400 /mo"
"3589 N Chatterton Way Boise, ID 83713","$2,250 /mo"
"2761 S Swallowtail Ln Boise, ID 83706","$3,600 /mo"
"2701 W Woodlawn Ave Boise, ID 83702","$3,200"
"3867 Gulley Ave Boise, ID 83709","$1,325 /mo"
"11575 W Gabrielle Dr Boise, ID 83713","$1,850 /mo"
"9192 W Shelterwood Dr Boise, ID 83709","$2,300 /mo"
"865 N 30th St N Boise, ID 83702","$2,350 /mo"
"3114 E Ionia Ct Meridian, ID 83642","$2,295 /mo"
"2477 N 15th St Boise, ID 83702","$1,225"
"1402 Camel Back Ln Boise, ID 83702","$1,470"
"652 N 9th St Boise, ID 83702","$1,050"
"1192 Shenandoah Dr Boise, ID 83712","$1,575"
"8600 W Brookside Ln Boise, ID 83714","$12,000 /mo"
"1326 W State St Boise, ID 83702","$1,590"
"1008 E Holly St Boise, ID 83712","$1,299"
"3968 W Pershing Dr Boise, ID 83705","$1,345"
"353 E Warm Springs Ave Boise, ID 83712","$1,165"
"3541 W Magnolia St Boise, ID 83703","$1,800"
"851 W Front St Boise, ID 83702","$2,300"
"2265 N Dalton Ln Boise, ID 83704","$1,395"
"4527 S Trails End Ln Boise, ID 83716","$2,295 /mo"
"4477 E Parkcenter Blvd Boise, ID 83716","$2,500 /mo"
"13388 W Elmspring Dr Boise, ID 83713","$2,950 /mo"
"2272 S Gekeler Ln Boise, ID 83706","$2,795"
"738 N Santa Paula Pl Boise, ID 83712","$2,200"
"3885 Pershing Dr Boise, ID 83705","$1,350 /mo"
"908 E Bergeson St Boise, ID 83706","$1,750"
"14342 W Meadow Creek Dr Boise, ID 83713","$2,100 /mo"
"200 N 3rd St Boise, ID 83702","$1,850"
"3893 E Parkcenter Blvd Boise, ID 83716","$2,695"
"2213 S Dorothy Ave Boise, ID 83706","$2,200"
"4820 W Albion St Boise, ID 83705","$1,900 /mo"
"4512 N Lusitano Ave Boise, ID 83713","$2,200 /mo"
"3233 S Trabuco Ave Boise, ID 83709","$1,995 /mo"
"1127 W Howe St Boise, ID 83706","$1,595 /mo"
"11223 W Knightsbridge Ct Boise, ID 83713","$1,875 /mo"
"11241 W Knightsbridge Ct Boise, ID 83713","$1,825 /mo"
"11253 W Knightsbridge Ct Boise, ID 83713","$1,825 /mo"
"11261 W Knightsbridge Ct Boise, ID 83713","$1,825 /mo"
"323 W Jefferson St Boise, ID 83702","$2,500"
"10801 W Excalibur St Boise, ID 83713","$1,800 /mo"
"1503 S Leadville Ave Boise, ID 83706","$1,350 /mo"
"4824 W Bethel St Boise, ID 83706","$1,395 /mo"
"1317 Owens St Boise, ID 83704","$1,700 /mo"
"9976 W Campville St Boise, ID 83709","$2,525 /mo"
"2123 S Rushmore Way Boise, ID 83709","$2,200 /mo"
"1404 Gourley St Boise, ID 83705","$1,675 /mo"
"5331 S Redeken Pl Boise, ID 83716","$2,200 /mo"
"3761 S Gekeler Ln Boise, ID 83706","$1,350 /mo"
"6812 W Ashland Dr Boise, ID 83709","$1,595 /mo"
"1821 S Roosevelt St Boise, ID 83705","$2,000 /mo"
"8130 W Crestwood Dr Boise, ID 83704","$1,600 /mo"
"2911 N 28th St Boise, ID 83703","$1,500 /mo"
"1109 W Dundee St Boise, ID 83706","$1,525 /mo"
"821 E Pennsylvania Dr Boise, ID 83706","$2,095 /mo"
"1407 W Boise Ave Boise, ID 83706","$1,900 /mo"
"9962 W Rosecroft Ct Boise, ID 83704","$1,495 /mo"
"10709 W Wasdale Dr Boise, ID 83709","$1,975 /mo"
"8911 Brynwood Dr Boise, ID 83704","$1,950 /mo"
"1617 S Colorado Ave Boise, ID 83706","$1,795 /mo"
"1427 S Colorado Ave Boise, ID 83706","$1,250 /mo"
"1509 N 8th St Boise, ID 83702","$2,700 /mo"
"708 Ofarrell St Boise, ID 83702","$1,900 /mo"
"7581 N Matlock Ave Boise, ID 83714","$1,895 /mo"
"9401 W Granger Ct Boise, ID 83704","$1,795 /mo"
"9981 W Lillywood Dr Boise, ID 83709","$1,900 /mo"
"406 E Curling Dr Boise, ID 83702","$2,400 /mo"
"1019 W Sherman St Boise, ID 83702","$2,200 /mo"
"1017 W Sherman St Boise, ID 83702","$2,000 /mo"
"1015 W Sherman St Boise, ID 83702","$2,000 /mo"
"2661 W Hazel St Boise, ID 83702","$2,100 /mo"
"1318 N 11th St Boise, ID 83702","$2,200 /mo"
"412 S 13th St Boise, ID 83702","$2,350 /mo"
"12041 W Bronte Dr Boise, ID 83709","$2,250 /mo"
"5116 S Surprise Way Boise, ID 83716","$2,300 /mo"
"851 W Front St Boise, ID 83702","$1,900"
"2758 Cherry Ln Boise, ID 83705","$1,725 /mo"
"6503 S Mistyglen Ave Boise, ID 83709","$1,995 /mo"
"12 Stapleton Ln Boise, ID 83705","$1,150 /mo"
"5423 N Rothmans Ave Boise, ID 83713","$1,795 /mo"
"851 W Front St Boise, ID 83702","$1,800"
"1905 N 13th St Boise, ID 83702","$1,895"
"7380 W Coho Dr Boise, ID 83709","$2,200 /mo"
"8680 W Stirrup St Boise, ID 83709","$1,925 /mo"
"6271 S Ruddsdale Ave Boise, ID 83709","$1,899 /mo"
"3550 W Magnolia St Boise, ID 83703","$1,695"
"806 S Gray Eagle Way Boise, ID 83712","$2,550 /mo"
"2600 N 29th St Boise, ID 83703","$1,695 /mo"
"14526 W White Hawk Ct Boise, ID 83713","$2,400 /mo"
"4394 S Tillamook Way Boise, ID 83709","$1,795 /mo"
"216 N 19th St Boise, ID 83702","$2,125 /mo"
"2404 W Bella St Boise, ID 83702","$2,200 /mo"
"1601 N 12th St Boise, ID 83702","$2,000 /mo"
"3534 E Grand Forest Dr Boise, ID 83716","$1,825"
"823 W Resseguie St Boise, ID 83702","$1,000"
"1220 W Boise Ave Boise, ID 83706","$1,850 /mo"
"9846 Rosecroft Boise, ID 83704","$1,599"
"3690 S Williamsburg Way Boise, ID 83706","$3,750 /mo"
"5874 N Parchment Ave Boise, ID 83713","$2,000 /mo"
"3325 N Covered Wagon Way Boise, ID 83713","$1,950 /mo"
"1306 W Boise Ave Boise, ID 83706","$3,000 /mo"
"9266 Ruth St Boise, ID 83704","$1,325 /mo"
"3846 S Caddis Pl Boise, ID 83716","$2,695"
"6724 Irving St W Boise, ID 83704","$1,395"
"6701 W Colehaven Dr Boise, ID 83704","$1,295"
"2107 S Leadville Ave Boise, ID 83706","$2,100 /mo"
"1014 E Krall St Boise, ID 83712","$1,700 /mo"
