address,price
"230 W 48th St, New York, NY 10036","$4,500"
"600 W 57th St, New York, NY 10019","$8,200"
"570 11th Ave, New York, NY 10036","$8,900"
"248 E 68th St, New York, NY 10065","$3,200 - 26,000"
"230 E 63rd St, New York, NY 10065","$4,300"
"10 Gramercy Park S, New York, NY 10003","$3,850"
"113 W 15th St, New York, NY 10011","$4,500 - 5,700"
"219 W 70th St, New York, NY 10023","$4,050 - 7,395"
"110 W 15th St, New York, NY 10011","$6,100"
"403 E 57th St, New York, NY 10022","$4,500"
"106 W 29th St, New York, NY 10001","$9,200"
"240 E 58th St, New York, NY 10022","$8,500"
"130 Mulberry St, New York, NY 10013","$6,400"
"131 Orchard St, New York, NY 10002","$4,850"
"218 E 25th St, New York, NY 10010","$3,600"
"275 E 10th St, New York, NY 10009","$3,700"
"115 W 31st St, New York, NY 10001","$5,400"
"308 W 50th St, New York, NY 10019","$5,000"
"445 W 50th St, New York, NY 10019","$7,800"
"306 E 8th St, New York, NY 10009","$4,900"
"419 E 13th St, New York, NY 10009","$6,925"
"63 W 37th St, New York, NY 10018","$7,400"
"247 E 50th St, New York, NY 10022","$4,700"
"431 E 52nd St, New York, NY 10022","$4,925"
"236 E 47th St, New York, NY 10017","$3,000"
"1134 1st Ave, New York, NY 10065","$3,500 - 5,500"
"2294 Frederick Douglass Blvd, New York, NY 10027","$2,325"
"255 W 94th St, New York, NY 10025","$7,995"
"255 W 94th St, New York, NY 10025","$4,850"
"400 5th Ave, New York, NY 10018","$18,000"
"112 W 128th St, New York, NY 10027","$2,695"
"80 Wall St, New York, NY 10005","$4,650"
"335 E 116th St, New York, NY 10029","$2,395"
"211 E 18th St, New York, NY 10003","$4,999"
"105 Duane St, New York, NY 10007","$3,495 - 5,095"
"936 2nd Ave, New York, NY 10022","$5,400"
"2148 2nd Ave, New York, NY 10029","$1,600"
"221 W 138th St, New York, NY 10030","$3,000"
"2311 2nd Ave, New York, NY 10035","$1,700 - 1,800"
"223 E 96th St, New York, NY 10128","$2,933"
"60 E 126th St, New York, NY 10035","$2,800"
"305 W 18th St, New York, NY 10011","$6,900"
"200 W 86th St, New York, NY 10024","$4,500 /mo"
"223 E 96th St, New York, NY 10128","$2,933"
"225 E 86th St, New York, NY 10028","$8,245"
"5 Gold St, New York, NY 10038","$3,150"
"218 W 138th St, New York, NY 10030","$1,450"
"50 Franklin St, New York, NY 10013","$8,500"
"401 E 57th St, New York, NY 10022","$2,880 - 3,500"
"358 E 57th St, New York, NY 10022","$5,300"
"120 E 56th St, New York, NY 10022","$5,000"
"312 E 46th St, New York, NY 10017","$5,300"
"162 E 63rd St, New York, NY 10065","$5,300"
"403 E 58th St, New York, NY 10022","$2,400"
"550 W 126th St, New York, NY 10027","$3,300"
"113 E 79th St, New York, NY 10075","$2,800"
"170 Norfolk St, New York, NY 10002","$3,800"
"120 E 107th St, New York, NY 10029","$2,995"
"210 E 43rd St, New York, NY 10017","$2,550"
"250 W 72nd St, New York, NY 10023","$3,600"
"203 W 23rd St, New York, NY 10011","$2,650"
"100 W 96th St, New York, NY 10025","$3,400"
"338 W 71st St, New York, NY 10023","$1,500"
"1492 2nd Ave New York, NY 10075","$1,915"
"429 E 9th St New York, NY 10009","$3,100"
"145 4th Ave New York, NY 10003","$6,520"
"414 E 78th St New York, NY 10075","$2,050"
"250 E Houston St New York, NY 10002","$6,600"
"360 W 34th St New York, NY 10001","$6,000"
"60 W 66th St New York, NY 10023","$6,190"
"80 Thompson St New York, NY 10012","$4,730"
