address,price
"4424 E Baseline Rd, Phoenix, AZ 85042","$1,317 - 2,219"
"1450 E Bell Rd, Phoenix, AZ 85022","$1,161 - 2,136"
"2902 W Sweetwater Ave, Phoenix, AZ 85029","$1,284 - 2,280"
"12810 N Cave Creek Rd, Phoenix, AZ 85022","$1,150 - 1,882"
"8130 W Indian School Rd, Phoenix, AZ 85033","$1,300 - 1,679"
"13229 S 48th St, Phoenix, AZ 85044","$1,260 - 2,329"
"2045 W Butler Dr, Phoenix, AZ 85021","$975 - 1,985"
"4225 N 12TH St, Phoenix, AZ 85014","$1,174 - 1,644"
"19800 N 7th St, Phoenix, AZ 85024","$1,335 - 2,717"
"7750 N 12th St, Phoenix, AZ 85020","$1,250 - 1,798"
"10 E Bell Rd, Phoenix, AZ 85022","$1,064 - 1,992"
"6231 W Mcdowell Rd, Phoenix, AZ 85035","$1,049 - 1,524"
"6161 W McDowell Rd, Phoenix, AZ 85035","$1,148 - 2,103"
"2911 E Indian School Rd, Phoenix, AZ 85016","$1,000 - 1,700"
"4337 N 53rd Ln, Phoenix, AZ 85031","$1,081 - 1,525"
"220 N 12th St, Phoenix, AZ 85034","$1,135 - 1,580"
"7007 W Indian School Rd, Phoenix, AZ 85033","$1,165 - 1,650"
"16220 N 7th St, Phoenix, AZ 85022","$1,351 - 1,761"
"4030 N 44th Ave, Phoenix, AZ 85031","$999 - 1,415"
"4722 E Bell Rd, Phoenix, AZ 85032","$1,022 - 2,152"
"9652 N 31st Ave, Phoenix, AZ 85051","$934 - 2,067"
"1333 N 24th St, Phoenix, AZ 85008","$1,235 - 2,122"
"17425 N 19th Ave, Phoenix, AZ 85023","$1,000 - 1,430"
"4141 W Glendale Ave, Phoenix, AZ 85051","$960 - 1,662"
"1601 W Camelback Rd, Phoenix, AZ 85015","$807 - 2,737"
"2641 W Butler Dr, Phoenix, AZ 85051","$700 - 1,200"
"8827 W McDowell Rd, Tolleson, AZ 85353",Call for Rent
"1145 W Baseline Rd, Tempe, AZ 85283","$1,291 - 1,800"
"6601 E McDowell Rd, Scottsdale, AZ 85257","$1,750 - 3,045"
"15475 N Greenway Hayden Loop, Scottsdale, AZ 85260","$1,893 - 11,831"
"4735 N Scottsdale Rd, Scottsdale, AZ 85251","$2,050 - 6,100"
"6080 E Thomas Rd, Scottsdale, AZ 85251","$1,700 - 2,965"
"29862 N Tatum Blvd, Cave Creek, AZ 85331","$1,759 - 16,749"
"15825 N 71st St, Scottsdale, AZ 85254","$2,163 - 7,300"
"7007 E Gold Dust Ave, Scottsdale, AZ 85253","$1,543 - 6,093"
"15345 N Scottsdale Rd, Scottsdale, AZ 85254","$1,583 - 3,978"
"20100 N 78th Pl, Scottsdale, AZ 85255","$1,960 - 3,275"
"1003 W Washington St, Tempe, AZ 85281","$1,750 - 3,127"
"6811 E Main St, Scottsdale, AZ 85251","$2,136 - 3,688"
"10888 N 70th St, Scottsdale, AZ 85254","$1,619 - 3,654"
"15125 N Scottsdale Rd, Scottsdale, AZ 85254","$1,900 - 13,897"
"1600 W La Jolla Dr, Tempe, AZ 85282","$1,398 - 2,561"
"18440 N 68th St, Scottsdale, AZ 85054","$1,370 - 2,470"
"601 W Rio Salado Pky, Tempe, AZ 85281","$1,555 - 4,802"
"19955 N 51st, Glendale, AZ 85308",Call for Rent
"2155 S 55th St, Tempe, AZ 85282","$1,677 - 5,817"
"12740 W Indian School Rd, Litchfield Park, AZ 85340","$1,449 - 2,200"
"15608 N 71st St, Scottsdale, AZ 85254","$1,943 - 9,287"
"3825 W Anthem Way, Anthem, AZ 85086","$1,530 - 2,360"
"5151 N 95th Ave, Glendale, AZ 85305","$1,350 - 2,035"
"2001 N Scottsdale Rd, Scottsdale, AZ 85257","$1,715 - 3,045"
"1155 W Grove Pky, Tempe, AZ 85283","$1,568 - 4,622"
"18525 N Scottsdale Rd, Scottsdale, AZ 85255","$1,765 - 2,435"
"7900 E Princess Dr, Scottsdale, AZ 85255","$2,052 - 4,503"
"10350 W McDowell Rd, Avondale, AZ 85392","$1,319 - 2,644"
"2929 N 70th St, Scottsdale, AZ 85251","$1,413 - 4,393"
"8449 S 59th Ave, Laveen, AZ 85339","$1,576 - 2,339"
"1235 W Baseline Rd, Tempe, AZ 85283","$1,385 - 1,799"
"16636 N 58th St, Scottsdale, AZ 85254","$1,550 - 3,180"
"16801 N 49th St, Scottsdale, AZ 85254","$1,665 - 1,815"
"2005 N 103rd Ave, Avondale, AZ 85392","$1,314 - 2,829"
"1311 W Baseline Rd, Tempe, AZ 85283","$1,270 - 1,685"
"2100 N Scottsdale Rd, Tempe, AZ 85288","$1,021 - 2,134"
"17212 N Scottsdale Rd, Scottsdale, AZ 85255","$1,590 - 3,880"
"7002 E Hubbell St, Scottsdale, AZ 85257","$1,325 - 1,880"
"1033 N Parkside Dr, Tempe, AZ 85288","$1,390 - 3,525"
"10000 W Missouri Ave, Glendale, AZ 85307","$1,195 - 1,599"
"9999 W Missouri Ave, Glendale, AZ 85307","$1,433 - 2,452"
"7017 S Priest Dr, Tempe, AZ 85283","$1,103 - 2,274"
"14221 N 51st Ave, Glendale, AZ 85306","$1,263 - 1,863"
"7711 N 51st Ave, Glendale, AZ 85301","$1,007 - 1,993"
"1133 W Baseline Rd, Tempe, AZ 85283","$1,500 - 2,300"
"5020 W Peoria Ave, Glendale, AZ 85302","$1,110 - 1,917"
"4748 W Sierra Vista Dr, Glendale, AZ 85301","$1,047 - 1,440"
"3800 N El Mirage Rd, Avondale, AZ 85392","$1,459 - 1,935"
"12350 W Camelback Rd, Litchfield Park, AZ 85340","$1,299 - 1,694"
"2500 S 99th Ave, Tolleson, AZ 85353","$1,449 - 1,549"
"4530 E McDowell Rd, Phoenix, AZ 85008","$1,299 - 1,670"
"4900 N 44th St, Phoenix, AZ 85018","$1,710 - 3,210"
"2323 E Flower St, Phoenix, AZ 85016","$1,199 - 1,599"
"10 W Minnezona Ave, Phoenix, AZ 85013","$1,550 - 3,285"
"6545 N 19th Ave, Phoenix, AZ 85015","$1,150 - 1,329"
